ticker,name,sector,price_to_fair_value,quality_score,growth_score,momentum_score,catalyst_score,risk_score,note
AAPL,Apple,Technology,0.92,88,72,66,62,26,现金流与生态壁垒稳健
MSFT,Microsoft,Technology,0.89,93,78,69,67,22,AI+云增长持续
GOOGL,Alphabet,Technology,0.81,86,74,61,64,28,广告复苏+算力投入
AMZN,Amazon,Consumer,0.95,83,79,72,70,35,零售效率改善+云服务增长
META,Meta Platforms,Technology,0.84,85,76,80,68,39,广告效率提升
TSM,Taiwan Semi,Semiconductor,0.78,91,82,63,75,31,先进制程需求强
ASML,ASML,Semiconductor,0.88,90,77,58,72,27,设备壁垒高
BRK.B,Berkshire Hathaway,Financial,0.97,87,58,51,49,20,保险浮存金与多元资产
JPM,JPMorgan,Financial,0.83,82,63,55,60,33,利率周期下息差韧性
V,Visa,Financial,0.86,92,70,65,61,18,支付网络强定价权
XOM,Exxon Mobil,Energy,0.79,74,49,57,66,41,供需错配带来周期机会
NVO,Novo Nordisk,Healthcare,1.06,89,88,77,81,37,减重新药高增长但估值偏贵
UNH,UnitedHealth,Healthcare,0.9,84,67,46,58,25,医保管理现金流稳定
TSLA,Tesla,Automotive,1.22,68,83,74,73,62,高成长高波动
PLTR,Palantir,Software,1.18,71,86,84,79,64,AI叙事强但风险较高
BABA,Alibaba,Ecommerce,0.61,73,56,52,65,48,低估值+治理与竞争不确定
PDD,PDD,Ecommerce,0.74,78,85,82,76,45,出海增长快
ADBE,Adobe,Software,0.93,88,69,54,55,24,高续费率与现金流
